Price ID,Date,Week No,Year,Season,Vegetable,District,Price (Rs/kg),Month,Temperature (°C),Rainfall (mm),Humidity (%),Cultivated Area (ha),Production Volume (Mt),Yield (Mt/ha)
1,2021-01-04,1,2021,Maha,Beans,Kandy,175.0,1,24.5,143.1,87.0,501.4,3073.7,6.130235341045074
11,2021-01-07,1,2021,Maha,Beans,Kandy,165.0,1,24.5,143.1,87.0,501.4,3073.7,6.130235341045074
21,2021-01-28,4,2021,Maha,Beans,Kandy,195.0,1,24.5,143.1,87.0,501.4,3073.7,6.130235341045074
26,2021-02-12,6,2021,Maha,Beans,Kandy,210.0,2,25.0,54.6,80.5,501.4,3073.7,6.130235341045074
36,2021-02-18,7,2021,Maha,Beans,Kandy,135.0,2,25.0,54.6,80.5,501.4,3073.7,6.130235341045074
46,2021-02-25,8,2021,Maha,Beans,Kandy,125.0,2,25.0,54.6,80.5,501.4,3073.7,6.130235341045074
56,2021-03-18,11,2021,Maha,Beans,Kandy,190.0,3,26.0,86.4,80.5,501.4,3073.7,6.130235341045074
66,2021-03-25,12,2021,Maha,Beans,Kandy,175.0,3,26.0,86.4,80.5,501.4,3073.7,6.130235341045074
81,2021-04-03,13,2021,Yala,Beans,Kandy,115.0,4,26.4,285.6,83.5,486.9,4480.6,9.202300266995277
91,2021-04-11,14,2021,Yala,Beans,Kandy,170.0,4,26.4,285.6,83.5,486.9,4480.6,9.202300266995277
101,2021-04-22,16,2021,Yala,Beans,Kandy,65.0,4,26.4,285.6,83.5,486.9,4480.6,9.202300266995277
111,2021-04-29,17,2021,Yala,Beans,Kandy,95.0,4,26.4,285.6,83.5,486.9,4480.6,9.202300266995277
121,2021-05-08,18,2021,Yala,Beans,Kandy,215.0,5,26.1,326.9,87.5,486.9,4480.6,9.202300266995277
131,2021-05-13,19,2021,Yala,Beans,Kandy,95.0,5,26.1,326.9,87.5,486.9,4480.6,9.202300266995277
136,2021-05-20,20,2021,Yala,Beans,Kandy,125.0,5,26.1,326.9,87.5,486.9,4480.6,9.202300266995277
141,2021-06-05,22,2021,Yala,Beans,Kandy,95.0,6,25.5,125.4,85.0,486.9,4480.6,9.202300266995277
146,2021-07-10,27,2021,Yala,Beans,Kandy,210.0,7,25.6,165.1,85.5,486.9,4480.6,9.202300266995277
156,2021-07-15,28,2021,Yala,Beans,Kandy,205.0,7,25.6,165.1,85.5,486.9,4480.6,9.202300266995277
166,2021-07-22,29,2021,Yala,Beans,Kandy,210.0,7,25.6,165.1,85.5,486.9,4480.6,9.202300266995277
176,2021-07-29,30,2021,Yala,Beans,Kandy,245.0,7,25.6,165.1,85.5,486.9,4480.6,9.202300266995277
186,2021-08-04,31,2021,Yala,Beans,Kandy,165.0,8,25.2,136.6,85.5,486.9,4480.6,9.202300266995277
196,2021-08-07,31,2021,Yala,Beans,Kandy,145.0,8,25.2,136.6,85.5,486.9,4480.6,9.202300266995277
206,2021-08-19,33,2021,Yala,Beans,Kandy,195.0,8,25.2,136.6,85.5,486.9,4480.6,9.202300266995277
216,2021-09-09,36,2021,Maha,Beans,Kandy,130.0,9,25.3,162.6,86.5,501.4,3073.7,6.130235341045074
226,2021-09-16,37,2021,Maha,Beans,Kandy,130.0,9,25.3,162.6,86.5,501.4,3073.7,6.130235341045074
236,2021-09-23,38,2021,Maha,Beans,Kandy,125.0,9,25.3,162.6,86.5,501.4,3073.7,6.130235341045074
246,2021-09-30,39,2021,Maha,Beans,Kandy,125.0,9,25.3,162.6,86.5,501.4,3073.7,6.130235341045074
256,2021-10-14,41,2021,Maha,Beans,Kandy,275.0,10,25.4,438.5,88.5,501.4,3073.7,6.130235341045074
266,2021-10-21,42,2021,Maha,Beans,Kandy,235.0,10,25.4,438.5,88.5,501.4,3073.7,6.130235341045074
276,2021-10-28,43,2021,Maha,Beans,Kandy,160.0,10,25.4,438.5,88.5,501.4,3073.7,6.130235341045074
291,2021-11-11,45,2021,Maha,Beans,Kandy,230.0,11,24.7,451.6,90.0,501.4,3073.7,6.130235341045074
301,2021-11-18,46,2021,Maha,Beans,Kandy,365.0,11,24.7,451.6,90.0,501.4,3073.7,6.130235341045074
311,2021-11-25,47,2021,Maha,Beans,Kandy,350.0,11,24.7,451.6,90.0,501.4,3073.7,6.130235341045074
321,2021-12-08,49,2021,Maha,Beans,Kandy,215.0,12,25.2,46.4,84.0,501.4,3073.7,6.130235341045074
336,2021-12-23,51,2021,Maha,Beans,Kandy,370.0,12,25.2,46.4,84.0,501.4,3073.7,6.130235341045074
346,2021-12-30,52,2021,Maha,Beans,Kandy,370.0,12,25.2,46.4,84.0,501.4,3073.7,6.130235341045074
356,2022-01-09,1,2022,Maha,Beans,Kandy,260.0,1,24.8,14.2,79.5,423.3,3062.4,7.234585400425231
366,2022-01-12,2,2022,Maha,Beans,Kandy,255.0,1,24.8,14.2,79.5,423.3,3062.4,7.234585400425231
376,2022-01-13,2,2022,Maha,Beans,Kandy,280.0,1,24.8,14.2,79.5,423.3,3062.4,7.234585400425231
386,2022-01-20,3,2022,Maha,Beans,Kandy,335.0,1,24.8,14.2,79.5,423.3,3062.4,7.234585400425231
396,2022-01-27,4,2022,Maha,Beans,Kandy,415.0,1,24.8,14.2,79.5,423.3,3062.4,7.234585400425231
406,2022-02-06,5,2022,Maha,Beans,Kandy,515.0,2,25.0,29.4,78.0,423.3,3062.4,7.234585400425231
416,2022-02-17,7,2022,Maha,Beans,Kandy,170.0,2,25.0,29.4,78.0,423.3,3062.4,7.234585400425231
426,2022-02-24,8,2022,Maha,Beans,Kandy,210.0,2,25.0,29.4,78.0,423.3,3062.4,7.234585400425231
436,2022-03-02,9,2022,Maha,Beans,Kandy,190.0,3,26.5,80.0,80.0,423.3,3062.4,7.234585400425231
446,2022-03-03,9,2022,Maha,Beans,Kandy,190.0,3,26.5,80.0,80.0,423.3,3062.4,7.234585400425231
456,2022-03-11,10,2022,Maha,Beans,Kandy,385.0,3,26.5,80.0,80.0,423.3,3062.4,7.234585400425231
466,2022-03-17,11,2022,Maha,Beans,Kandy,190.0,3,26.5,80.0,80.0,423.3,3062.4,7.234585400425231
476,2022-03-24,12,2022,Maha,Beans,Kandy,170.0,3,26.5,80.0,80.0,423.3,3062.4,7.234585400425231
486,2022-03-31,13,2022,Maha,Beans,Kandy,130.0,3,26.5,80.0,80.0,423.3,3062.4,7.234585400425231
496,2022-04-08,14,2022,Yala,Beans,Kandy,290.0,4,26.3,250.2,85.5,428.2,3022.0,7.057449789817842
506,2022-04-21,16,2022,Yala,Beans,Kandy,185.0,4,26.3,250.2,85.5,428.2,3022.0,7.057449789817842
516,2022-05-05,18,2022,Yala,Beans,Kandy,335.0,5,25.5,230.55,84.5,428.2,3022.0,7.057449789817842
526,2022-05-19,20,2022,Yala,Beans,Kandy,340.0,5,25.5,230.55,84.5,428.2,3022.0,7.057449789817842
536,2022-05-26,21,2022,Yala,Beans,Kandy,435.0,5,25.5,230.55,84.5,428.2,3022.0,7.057449789817842
546,2022-06-10,23,2022,Yala,Beans,Kandy,275.0,6,25.5,19.5,83.0,428.2,3022.0,7.057449789817842
556,2022-06-16,24,2022,Yala,Beans,Kandy,565.0,6,25.5,19.5,83.0,428.2,3022.0,7.057449789817842
566,2022-06-23,25,2022,Yala,Beans,Kandy,540.0,6,25.5,19.5,83.0,428.2,3022.0,7.057449789817842
576,2022-06-30,26,2022,Yala,Beans,Kandy,475.0,6,25.5,19.5,83.0,428.2,3022.0,7.057449789817842
586,2022-07-04,27,2022,Yala,Beans,Kandy,140.0,7,25.5,157.5,82.5,428.2,3022.0,7.057449789817842
596,2022-07-07,27,2022,Yala,Beans,Kandy,310.0,7,25.5,157.5,82.5,428.2,3022.0,7.057449789817842
606,2022-07-14,28,2022,Yala,Beans,Kandy,315.0,7,25.5,157.5,82.5,428.2,3022.0,7.057449789817842
616,2022-07-21,29,2022,Yala,Beans,Kandy,335.0,7,25.5,157.5,82.5,428.2,3022.0,7.057449789817842
626,2022-07-28,30,2022,Yala,Beans,Kandy,280.0,7,25.5,157.5,82.5,428.2,3022.0,7.057449789817842
636,2022-08-09,32,2022,Yala,Beans,Kandy,375.0,8,25.0,265.0,84.0,428.2,3022.0,7.057449789817842
646,2022-08-12,32,2022,Yala,Beans,Kandy,135.0,8,25.0,265.0,84.0,428.2,3022.0,7.057449789817842
656,2022-08-18,33,2022,Yala,Beans,Kandy,440.0,8,25.0,265.0,84.0,428.2,3022.0,7.057449789817842
