Date,District,Crop,Price,MonthNum,Season,Year
2021-01-04,Kandy,Beans,175.0,1,Maha,2021
2021-01-04,Kandy,Cabbage,65.0,1,Maha,2021
2021-01-04,Kandy,Carrots,125.0,1,Maha,2021
2021-01-04,Kandy,Leeks,75.0,1,Maha,2021
2021-01-04,Kandy,Okra,75.0,1,Maha,2021
2021-01-04,Matale,Beans,165.0,1,Maha,2021
2021-01-04,Matale,Cabbage,75.0,1,Maha,2021
2021-01-04,Matale,Carrots,120.0,1,Maha,2021
2021-01-04,Matale,Leeks,75.0,1,Maha,2021
2021-01-04,Matale,Okra,55.0,1,Maha,2021
2021-01-07,Kandy,Beans,165.0,1,Maha,2021
2021-01-07,Kandy,Cabbage,125.0,1,Maha,2021
2021-01-07,Kandy,Carrots,135.0,1,Maha,2021
2021-01-07,Kandy,Leeks,165.0,1,Maha,2021
2021-01-07,Kandy,Okra,115.0,1,Maha,2021
2021-01-07,Matale,Beans,145.0,1,Maha,2021
2021-01-07,Matale,Cabbage,115.0,1,Maha,2021
2021-01-07,Matale,Carrots,135.0,1,Maha,2021
2021-01-07,Matale,Leeks,160.0,1,Maha,2021
2021-01-07,Matale,Okra,105.0,1,Maha,2021
2021-01-28,Kandy,Beans,195.0,1,Maha,2021
2021-01-28,Kandy,Cabbage,440.0,1,Maha,2021
2021-01-28,Kandy,Carrots,135.0,1,Maha,2021
2021-01-28,Kandy,Leeks,55.0,1,Maha,2021
2021-01-28,Kandy,Okra,170.0,1,Maha,2021
2021-02-12,Kandy,Beans,210.0,2,Maha,2021
2021-02-12,Kandy,Cabbage,245.0,2,Maha,2021
2021-02-12,Kandy,Carrots,285.0,2,Maha,2021
2021-02-12,Kandy,Leeks,260.0,2,Maha,2021
2021-02-12,Kandy,Okra,145.0,2,Maha,2021
2021-02-12,Matale,Beans,250.0,2,Maha,2021
2021-02-12,Matale,Cabbage,240.0,2,Maha,2021
2021-02-12,Matale,Carrots,255.0,2,Maha,2021
2021-02-12,Matale,Leeks,230.0,2,Maha,2021
2021-02-12,Matale,Okra,110.0,2,Maha,2021
2021-02-18,Kandy,Beans,135.0,2,Maha,2021
2021-02-18,Kandy,Cabbage,70.0,2,Maha,2021
2021-02-18,Kandy,Carrots,145.0,2,Maha,2021
2021-02-18,Kandy,Leeks,85.0,2,Maha,2021
2021-02-18,Kandy,Okra,155.0,2,Maha,2021
2021-02-18,Matale,Beans,125.0,2,Maha,2021
2021-02-18,Matale,Cabbage,55.0,2,Maha,2021
2021-02-18,Matale,Carrots,130.0,2,Maha,2021
2021-02-18,Matale,Leeks,95.0,2,Maha,2021
2021-02-18,Matale,Okra,145.0,2,Maha,2021
2021-02-25,Kandy,Beans,125.0,2,Maha,2021
2021-02-25,Kandy,Cabbage,55.0,2,Maha,2021
2021-02-25,Kandy,Carrots,105.0,2,Maha,2021
2021-02-25,Kandy,Leeks,85.0,2,Maha,2021
2021-02-25,Kandy,Okra,115.0,2,Maha,2021
2021-02-25,Matale,Beans,155.0,2,Maha,2021
2021-02-25,Matale,Cabbage,65.0,2,Maha,2021
2021-02-25,Matale,Carrots,115.0,2,Maha,2021
2021-02-25,Matale,Leeks,95.0,2,Maha,2021
2021-02-25,Matale,Okra,130.0,2,Maha,2021
2021-03-18,Kandy,Beans,190.0,3,Maha,2021
2021-03-18,Kandy,Cabbage,70.0,3,Maha,2021
2021-03-18,Kandy,Carrots,135.0,3,Maha,2021
