Date,price,crop,district,lag_1,lag_2,lag_3,lag_13,rolling_mean_4,rolling_std_4
2021-01-10,170.0,Beans,Kandy,,,,,,
2021-01-17,178.33333333333334,Beans,Kandy,170.0,,,,,
2021-01-24,186.66666666666666,Beans,Kandy,178.33333333333334,170.0,,,,
2021-01-31,195.0,Beans,Kandy,186.66666666666666,178.33333333333334,170.0,,182.5,10.758287072798371
2021-02-07,202.5,Beans,Kandy,195.0,186.66666666666666,178.33333333333334,,190.625,10.438865235618634
2021-02-14,210.0,Beans,Kandy,202.5,195.0,186.66666666666666,,198.54166666666666,10.008676791220253
2021-02-21,135.0,Beans,Kandy,210.0,202.5,195.0,,185.625,34.30105683503062
2021-02-28,125.0,Beans,Kandy,135.0,210.0,202.5,,168.125,44.31774475308961
2021-03-07,146.66666666666666,Beans,Kandy,125.0,135.0,210.0,,154.16666666666666,38.260800944163364
2021-03-14,168.33333333333334,Beans,Kandy,146.66666666666666,125.0,135.0,,143.75,18.627687476998982
2021-03-21,190.0,Beans,Kandy,168.33333333333334,146.66666666666666,125.0,,157.5,27.97154638927586
2021-03-28,175.0,Beans,Kandy,190.0,168.33333333333334,146.66666666666666,,170.0,18.0020574955775
2021-04-04,115.0,Beans,Kandy,175.0,190.0,168.33333333333334,,162.08333333333334,32.67049297318781
2021-04-11,170.0,Beans,Kandy,115.0,175.0,190.0,170.0,162.5,32.78719262151005
2021-04-18,117.5,Beans,Kandy,170.0,115.0,175.0,178.33333333333334,144.375,32.55604142602929
2021-04-25,65.0,Beans,Kandy,117.5,170.0,115.0,186.66666666666666,116.875,42.8842919960211
2021-05-02,95.0,Beans,Kandy,65.0,117.5,170.0,195.0,111.875,44.31774475308958
2021-05-09,215.0,Beans,Kandy,95.0,65.0,117.5,202.5,123.125,64.91581086299392
2021-05-16,95.0,Beans,Kandy,215.0,95.0,65.0,210.0,117.5,66.52067347825034
2021-05-23,125.0,Beans,Kandy,95.0,215.0,95.0,135.0,132.5,56.78908345800274
2021-05-30,110.0,Beans,Kandy,125.0,95.0,215.0,125.0,136.25,53.909646632119575
2021-06-06,95.0,Beans,Kandy,110.0,125.0,95.0,146.66666666666666,106.25,14.36140661634504
2021-06-13,118.0,Beans,Kandy,95.0,110.0,125.0,168.33333333333334,112.0,12.884098726725108
2021-06-20,141.0,Beans,Kandy,118.0,95.0,110.0,190.0,116.0,19.20069443188622
2021-06-27,164.0,Beans,Kandy,141.0,118.0,95.0,175.0,129.5,29.692872320923545
2021-07-04,187.0,Beans,Kandy,164.0,141.0,118.0,115.0,152.5,29.69287232092357
2021-07-11,210.0,Beans,Kandy,187.0,164.0,141.0,170.0,175.5,29.692872320923595
2021-07-18,205.0,Beans,Kandy,210.0,187.0,164.0,117.5,191.5,20.824664863249822
2021-07-25,210.0,Beans,Kandy,205.0,210.0,187.0,65.0,203.0,10.923979738782895
2021-08-01,245.0,Beans,Kandy,210.0,205.0,210.0,95.0,217.5,18.484227510682555
2021-08-08,155.0,Beans,Kandy,245.0,210.0,205.0,215.0,203.75,37.05289012569293
2021-08-15,175.0,Beans,Kandy,155.0,245.0,210.0,95.0,196.25,39.66001344763605
2021-08-22,195.0,Beans,Kandy,175.0,155.0,245.0,125.0,192.5,38.622100754188295
2021-08-29,173.33333333333334,Beans,Kandy,195.0,175.0,155.0,110.0,174.58333333333334,16.351180725290615
2021-09-05,151.66666666666666,Beans,Kandy,173.33333333333334,195.0,175.0,95.0,173.75,17.710375699216875
2021-09-12,130.0,Beans,Kandy,151.66666666666666,173.33333333333334,195.0,118.0,162.5,27.971546389275847
2021-09-19,130.0,Beans,Kandy,130.0,151.66666666666666,173.33333333333334,141.0,146.25,20.744254001387375
2021-09-26,125.0,Beans,Kandy,130.0,130.0,151.66666666666666,164.0,134.16666666666666,11.902380714238117
2021-10-03,125.0,Beans,Kandy,125.0,130.0,130.0,187.0,127.5,2.8867513459481735
2021-10-10,200.0,Beans,Kandy,125.0,125.0,130.0,210.0,145.0,36.742346141747696
2021-10-17,275.0,Beans,Kandy,200.0,125.0,125.0,205.0,181.25,71.80703308172538
2021-10-24,235.0,Beans,Kandy,275.0,200.0,125.0,210.0,208.75,63.68869601428503
2021-10-31,160.0,Beans,Kandy,235.0,275.0,200.0,245.0,217.5,49.07477288111826
2021-11-07,195.0,Beans,Kandy,160.0,235.0,275.0,155.0,216.25,49.72842915945237
2021-11-14,230.0,Beans,Kandy,195.0,160.0,235.0,175.0,205.0,34.88074922742732
2021-11-21,365.0,Beans,Kandy,230.0,195.0,160.0,195.0,237.5,89.67534034876408
2021-11-28,350.0,Beans,Kandy,365.0,230.0,195.0,173.33333333333334,285.0,85.14693182963207
2021-12-05,282.5,Beans,Kandy,350.0,365.0,230.0,151.66666666666666,306.875,62.56246878121107
2021-12-12,215.0,Beans,Kandy,282.5,350.0,365.0,130.0,303.125,68.8408490650719
2021-12-19,370.0,Beans,Kandy,215.0,282.5,350.0,130.0,304.375,70.36733972518792
2021-12-26,370.0,Beans,Kandy,370.0,215.0,282.5,125.0,309.375,75.23227919804998
2022-01-02,370.0,Beans,Kandy,370.0,370.0,215.0,125.0,331.25,77.50000000000007
2022-01-09,260.0,Beans,Kandy,370.0,370.0,370.0,200.0,342.5,55.0
2022-01-16,267.5,Beans,Kandy,260.0,370.0,370.0,275.0,316.875,61.419832573309186
2022-01-23,335.0,Beans,Kandy,267.5,260.0,370.0,235.0,308.125,53.282853714867784
2022-01-30,415.0,Beans,Kandy,335.0,267.5,260.0,160.0,319.375,72.12185868375828
2022-02-06,515.0,Beans,Kandy,415.0,335.0,267.5,195.0,383.125,106.60235691578306
2022-02-13,342.5,Beans,Kandy,515.0,415.0,335.0,230.0,401.875,83.60061303602983
2022-02-20,170.0,Beans,Kandy,342.5,515.0,415.0,365.0,360.625,145.4357676089345
2022-02-27,210.0,Beans,Kandy,170.0,342.5,515.0,350.0,309.375,155.64884355497153
2022-03-06,190.0,Beans,Kandy,210.0,170.0,342.5,282.5,228.125,77.97903030088708
2022-03-13,385.0,Beans,Kandy,190.0,210.0,170.0,215.0,238.75,98.85806323546231
2022-03-20,190.0,Beans,Kandy,385.0,190.0,210.0,370.0,243.75,94.63746615373849
2022-03-27,170.0,Beans,Kandy,190.0,385.0,190.0,370.0,233.75,101.27314550264546
2022-04-03,130.0,Beans,Kandy,170.0,190.0,385.0,370.0,218.75,113.60567767501763
2022-04-10,290.0,Beans,Kandy,130.0,170.0,190.0,260.0,195.0,68.06859285554047
2022-04-17,237.5,Beans,Kandy,290.0,130.0,170.0,267.5,206.875,70.98635432250343
2022-04-24,185.0,Beans,Kandy,237.5,290.0,130.0,335.0,210.625,68.75000000000001
2022-05-01,237.5,Beans,Kandy,185.0,237.5,290.0,415.0,237.5,42.86607049870564
2022-05-08,335.0,Beans,Kandy,237.5,185.0,237.5,515.0,248.75,62.59992012774459
2022-05-15,337.5,Beans,Kandy,335.0,237.5,185.0,342.5,273.75,75.291101731878
2022-05-22,340.0,Beans,Kandy,337.5,335.0,237.5,170.0,312.5,50.041649320008126
2022-05-29,435.0,Beans,Kandy,340.0,337.5,335.0,210.0,361.875,48.79271632802041
2022-06-05,355.0,Beans,Kandy,435.0,340.0,337.5,190.0,366.875,46.06946747394999
2022-06-12,275.0,Beans,Kandy,355.0,435.0,340.0,385.0,351.25,65.7488909919146
2022-06-19,565.0,Beans,Kandy,275.0,355.0,435.0,190.0,407.5,123.65947867699698
2022-06-26,540.0,Beans,Kandy,565.0,275.0,355.0,170.0,433.75,141.32556975532302
2022-07-03,475.0,Beans,Kandy,540.0,565.0,275.0,130.0,463.75,131.42646866847892
2022-07-10,225.0,Beans,Kandy,475.0,540.0,565.0,290.0,451.25,155.53000782271354
2022-07-17,315.0,Beans,Kandy,225.0,475.0,540.0,237.5,388.75,144.4169311403618
2022-07-24,335.0,Beans,Kandy,315.0,225.0,475.0,185.0,337.5,103.40051579497401
2022-07-31,280.0,Beans,Kandy,335.0,315.0,225.0,237.5,288.75,48.19664580307089
2022-08-07,267.5,Beans,Kandy,280.0,335.0,315.0,335.0,299.375,31.116381002081056
2022-08-14,255.0,Beans,Kandy,267.5,280.0,335.0,337.5,284.375,35.259454996733446
2022-08-21,440.0,Beans,Kandy,255.0,267.5,280.0,340.0,310.625,86.8517654781218
2022-08-28,190.0,Beans,Kandy,440.0,255.0,267.5,435.0,288.125,106.79760843140015
2022-09-04,365.0,Beans,Kandy,190.0,440.0,255.0,355.0,312.5,111.54221921168089
2022-09-11,540.0,Beans,Kandy,365.0,190.0,440.0,275.0,383.75,147.72581584363198
2022-09-18,390.0,Beans,Kandy,540.0,365.0,190.0,565.0,371.25,143.43262065048756
