Date,Beans,Cabbage,Carrots,Leeks,Okra
2021-01-04,170.0,70.0,122.5,75.0,65.0
2021-01-07,155.0,120.0,135.0,162.5,110.0
2021-01-28,195.0,440.0,135.0,55.0,170.0
2021-02-12,230.0,242.5,270.0,245.0,127.5
2021-02-18,130.0,62.5,137.5,90.0,150.0
2021-02-25,140.0,60.0,110.0,90.0,122.5
2021-03-18,190.0,72.5,135.0,85.0,90.0
2021-03-25,160.0,70.0,130.0,75.0,85.0
2021-04-02,145.0,75.0,125.0,75.0,85.0
2021-04-03,127.5,87.5,145.0,90.0,102.5
2021-04-11,145.0,87.5,165.0,182.5,95.0
2021-04-22,55.0,70.0,125.0,72.5,45.0
2021-04-29,97.5,65.0,92.5,65.0,60.0
2021-05-08,230.0,102.5,110.0,205.0,82.5
2021-05-13,170.0,82.5,110.0,125.0,67.5
2021-05-20,185.0,92.5,125.0,135.0,75.0
2021-06-05,205.0,102.5,177.5,120.0,87.5
2021-07-10,210.0,75.0,90.0,137.5,70.0
2021-07-15,195.0,85.0,107.5,112.5,100.0
2021-07-22,222.5,90.0,97.5,137.5,97.5
2021-07-29,245.0,102.5,127.5,177.5,105.0
2021-08-04,135.0,70.0,110.0,70.0,60.0
2021-08-07,127.5,105.0,102.5,132.5,100.0
2021-08-19,195.0,110.0,95.0,175.0,55.0
2021-09-09,132.5,90.0,90.0,160.0,35.0
2021-09-16,110.0,80.0,82.5,170.0,47.5
2021-09-23,115.0,87.5,85.0,160.0,50.0
2021-09-30,140.0,80.0,75.0,135.0,50.0
2021-10-14,252.5,70.0,97.5,155.0,95.0
2021-10-21,212.5,77.5,92.5,162.5,100.0
2021-10-28,170.0,82.5,117.5,205.0,102.5
2021-11-02,110.0,55.0,155.0,90.0,125.0
2021-11-11,247.5,100.0,195.0,197.5,110.0
2021-11-18,390.0,127.5,230.0,215.0,145.0
2021-11-25,337.5,200.0,310.0,352.5,185.0
2021-12-08,230.0,102.5,110.0,205.0,82.5
2021-12-16,357.5,282.5,360.0,265.0,130.0
2021-12-23,310.0,260.0,355.0,255.0,122.5
2021-12-30,357.5,247.5,400.0,240.0,130.0
2022-01-09,247.5,300.0,272.5,155.0,70.0
2022-01-12,250.0,172.5,347.5,375.0,90.0
2022-01-13,265.0,182.5,275.0,192.5,130.0
2022-01-20,317.5,177.5,360.0,202.5,137.5
2022-01-27,395.0,145.0,322.5,190.0,177.5
2022-02-06,545.0,195.0,282.5,170.0,245.0
2022-02-17,167.5,130.0,387.5,102.5,161.5
2022-02-24,192.5,85.0,345.0,87.5,155.0
2022-03-02,177.5,192.5,327.5,165.0,175.0
2022-03-03,200.0,79.0,257.5,97.5,82.5
2022-03-11,405.0,182.5,292.5,217.5,107.5
2022-03-17,187.5,69.0,202.5,90.0,59.0
2022-03-24,162.5,62.5,167.5,85.0,54.0
2022-03-31,135.0,55.0,132.5,85.0,60.0
2022-04-08,327.5,180.0,217.5,112.5,132.5
2022-04-21,167.5,52.5,117.5,97.5,65.0
2022-04-28,247.5,116.25,167.5,105.0,98.75
2022-05-05,370.0,60.0,130.0,112.5,120.0
2022-05-19,370.0,127.5,230.0,127.5,140.0
2022-05-26,492.5,127.5,235.0,145.0,227.5
2022-06-10,290.0,282.5,307.5,302.5,100.0
2022-06-16,570.0,247.5,275.0,185.0,232.5
2022-06-23,482.5,210.0,227.5,157.5,222.5
2022-06-30,425.0,210.0,235.0,152.5,220.0
2022-07-04,140.0,57.5,150.0,112.5,65.0
2022-07-07,280.0,215.0,222.5,152.5,127.5
2022-07-14,295.0,225.0,255.0,192.5,225.0
2022-07-21,355.0,227.5,255.0,175.0,187.5
2022-07-28,302.5,187.5,225.0,125.0,167.5
2022-08-09,390.0,230.0,257.5,155.0,75.0
2022-08-12,125.0,137.5,270.0,345.0,70.0
2022-08-18,387.5,315.0,292.5,190.0,122.5
2022-08-25,195.0,340.0,265.0,167.5,70.0
2022-09-06,557.5,235.0,257.5,160.0,232.5
2022-09-15,432.5,262.5,287.5,215.0,90.0
2022-09-22,275.0,320.0,297.5,217.5,112.5
2022-09-29,227.5,287.5,282.5,210.0,97.5
2022-10-02,187.5,165.0,375.0,155.0,162.5
2022-10-03,195.0,74.0,265.0,85.0,90.0
2022-10-11,270.0,160.0,292.5,220.0,110.0
2022-10-13,345.0,242.5,297.5,212.5,115.0
2022-10-20,260.0,165.0,270.0,200.0,95.0
2022-10-27,270.0,147.5,280.0,207.5,107.5
2022-11-08,445.0,225.0,240.0,112.5,142.5
2022-11-17,350.0,125.0,362.5,222.5,130.0
2022-11-24,335.0,220.0,350.0,215.0,122.5
2022-12-15,400.0,112.5,265.0,317.5,105.0
2022-12-22,425.0,110.0,252.5,322.5,110.0
2022-12-29,445.0,105.0,245.0,345.0,117.5
2023-01-12,300.0,77.5,147.5,207.5,137.5
2023-01-19,397.5,59.0,150.0,250.0,167.5
2023-01-26,292.5,51.5,117.5,220.0,180.0
2023-02-02,392.5,46.5,102.5,162.5,187.5
2023-02-09,357.5,47.5,110.0,180.0,182.5
2023-02-16,365.0,47.5,107.5,195.0,212.5
2023-02-23,320.0,55.0,147.5,170.0,200.0
2023-03-02,215.0,48.75,102.5,155.0,190.0
2023-03-09,210.0,51.5,105.0,157.5,205.0
2023-03-16,195.0,52.5,92.5,152.5,175.0
2023-03-23,150.0,55.0,87.5,155.0,130.0
2023-03-30,130.0,67.5,107.5,202.5,100.0
2023-04-06,110.0,75.0,100.0,187.5,86.0
2023-04-20,87.5,132.5,130.0,197.5,74.0
2023-04-27,152.5,105.0,132.5,190.0,92.5
2023-05-04,235.0,122.5,130.0,215.0,130.0
2023-05-11,307.5,150.0,132.5,210.0,117.5
2023-05-18,397.5,180.0,220.0,272.5,152.5
2023-05-25,240.0,267.5,265.0,277.5,155.0
2023-06-01,272.5,295.0,282.5,250.0,132.5
2023-06-08,285.0,282.5,302.5,277.5,117.5
2023-06-15,370.0,202.5,305.0,232.5,150.0
2023-06-22,385.0,147.5,295.0,185.0,170.0
2023-06-29,420.0,172.5,375.0,197.5,192.5
2023-07-06,295.0,175.0,400.0,172.5,180.0
2023-07-13,405.0,145.0,382.5,140.0,140.0
2023-07-20,347.5,137.5,397.5,142.5,112.5
2023-07-27,357.5,145.0,427.5,122.5,85.0
2023-08-03,385.0,140.0,422.5,122.5,87.5
2023-08-10,325.0,152.5,405.0,125.0,77.5
2023-08-17,360.0,132.5,385.0,117.5,75.0
2023-08-24,340.0,140.0,295.0,95.0,65.0
2023-08-31,287.5,125.0,280.0,87.5,80.0
2023-09-07,222.5,82.5,205.0,70.0,70.0
2023-09-14,337.5,75.0,182.5,72.5,80.0
2023-09-21,325.0,60.0,152.5,65.0,85.0
2023-09-28,245.0,62.5,115.0,50.0,87.5
2023-10-05,235.0,70.0,212.5,80.0,90.0
2023-10-12,310.0,57.5,155.0,65.0,85.0
2023-10-19,355.0,62.5,160.0,67.5,100.0
2023-10-26,440.0,100.0,175.0,67.5,137.5
2023-11-02,375.0,130.0,260.0,125.0,150.0
2023-11-09,270.0,170.0,232.5,97.5,155.0
2023-11-16,320.0,187.5,345.0,187.5,155.0
2023-11-23,417.5,242.5,280.0,142.5,157.5
2023-11-30,502.5,300.0,300.0,210.0,155.0
2023-12-07,350.0,297.5,295.0,210.0,145.0
2023-12-14,337.5,312.5,292.5,235.0,117.5
2023-12-21,325.0,312.5,410.0,227.5,147.5
2023-12-28,547.5,340.0,555.0,312.5,157.5
2024-01-04,450.0,400.0,605.0,320.0,160.0
2024-01-11,442.5,407.5,795.0,300.0,185.0
2024-01-18,937.5,600.0,1600.0,485.0,317.5
2024-01-25,665.0,447.5,1000.0,375.0,340.0
2024-02-01,637.5,575.0,1300.0,495.0,360.0
2024-02-08,735.0,405.0,712.5,482.5,305.0
2024-02-15,675.0,350.0,575.0,307.5,282.5
2024-02-22,537.5,350.0,380.0,285.0,260.0
2024-02-29,402.5,317.5,380.0,230.0,172.5
2024-03-07,400.0,315.0,300.0,210.0,165.0
2024-03-14,277.5,345.0,315.0,205.0,120.0
2024-03-21,147.5,310.0,290.0,202.5,77.5
2024-03-28,97.5,212.5,267.5,162.5,50.0
2024-04-04,100.0,145.0,252.5,147.5,67.5
2024-04-11,120.0,140.0,225.0,135.0,60.0
2024-04-25,120.0,105.0,170.0,147.5,77.5
2024-05-02,147.5,82.5,157.5,160.0,97.5
2024-05-11,175.0,175.0,265.0,130.0,65.0
2024-05-16,212.5,87.5,107.5,210.0,115.0
2024-05-23,385.0,80.0,126.66666666666667,196.66666666666666,105.0
2024-05-30,595.0,105.0,142.5,245.0,117.5
2024-06-06,512.5,105.0,140.0,360.0,160.0
2024-06-13,445.0,155.0,350.0,490.0,150.0
2024-06-20,532.5,175.0,360.0,485.0,160.0
2024-06-27,475.0,177.5,407.5,557.5,150.0
2024-07-04,477.5,152.5,367.5,350.0,165.0
2024-07-11,475.0,190.0,340.0,365.0,155.0
2024-07-18,475.0,230.0,350.0,375.0,152.5
2024-07-25,525.0,242.5,350.0,402.5,130.0
2024-08-01,495.0,252.5,312.5,370.0,115.0
2024-08-08,387.5,240.0,212.5,317.5,65.0
2024-08-15,375.0,187.5,205.0,232.5,62.5
2024-08-22,370.0,150.0,182.5,225.0,65.0
2024-08-29,295.0,122.5,165.0,222.5,55.0
2024-09-05,212.5,160.0,185.0,200.0,55.0
2024-09-12,192.5,145.0,165.0,205.0,47.5
2024-09-19,170.0,167.5,160.0,210.0,60.0
2024-09-26,245.0,122.5,167.5,242.5,62.5
2024-10-03,265.0,142.5,90.0,180.0,67.5
2024-10-10,287.5,105.0,87.5,137.5,95.0
2024-10-17,307.5,90.0,80.0,122.5,85.0
2024-10-24,330.0,97.5,87.5,165.0,85.0
2024-10-31,277.5,95.0,77.5,167.5,82.5
2024-11-07,242.5,77.5,82.5,145.0,62.5
2024-11-14,370.0,77.5,102.5,142.5,82.5
2024-11-21,400.0,80.0,102.5,125.0,77.5
2024-11-28,390.0,70.0,87.5,120.0,85.0
2024-12-05,620.0,85.0,120.0,140.0,140.0
2024-12-12,500.0,127.5,145.0,227.5,140.0
2024-12-19,252.5,195.0,152.5,270.0,85.0
2024-12-26,410.0,120.0,117.5,192.5,92.5
2025-01-09,340.0,102.5,207.5,205.0,137.5
2025-01-16,267.5,130.0,222.5,207.5,145.0
2025-01-23,445.0,135.0,217.5,225.0,190.0
2025-01-30,495.0,155.0,260.0,200.0,235.0
2025-02-06,462.5,252.5,402.5,270.0,267.5
2025-02-13,420.0,227.5,600.0,240.0,267.5
2025-02-20,370.0,265.0,682.5,255.0,260.0
2025-02-27,215.0,275.0,712.5,205.0,212.5
2025-03-06,155.0,255.0,675.0,182.5,200.0
2025-03-13,437.5,232.5,662.5,195.0,247.5
2025-03-20,437.5,230.0,537.5,160.0,247.5
2025-03-27,437.5,230.0,537.5,160.0,247.5
2025-04-03,520.0,222.5,495.0,140.0,255.0
2025-04-10,420.0,167.5,307.5,130.0,247.5
2025-04-24,350.0,235.0,350.0,127.5,215.0
2025-05-01,475.0,272.5,400.0,152.5,247.5
2025-05-08,587.5,305.0,700.0,152.5,250.0
2025-05-15,425.0,325.0,812.5,195.0,112.5
2025-05-22,237.5,312.5,757.5,195.0,157.5
2025-05-29,237.5,262.5,550.0,200.0,130.0
2025-06-05,425.0,297.5,587.5,270.0,90.0
2025-06-12,387.5,345.0,632.5,320.0,90.0
2025-06-19,475.0,290.0,462.5,255.0,72.5
2025-06-26,545.0,195.0,332.5,212.5,105.0
2025-07-03,450.0,190.5,217.5,157.5,90.0
2025-07-10,362.5,267.5,300.0,167.5,85.0
2025-07-17,345.0,190.0,287.5,165.0,67.5
2025-07-24,390.0,155.0,287.5,152.5,70.0
2025-07-31,600.0,135.0,255.0,122.5,90.0
2025-08-07,600.0,170.0,307.5,122.5,97.5
2025-08-14,587.5,180.0,505.0,130.0,90.0
2025-08-21,500.0,130.0,327.5,107.5,87.5
2025-08-28,392.5,155.0,277.5,130.0,105.0
2025-09-04,310.0,137.5,237.5,110.0,107.5
2025-09-11,332.5,142.5,242.5,125.0,125.0
2025-09-18,327.5,100.0,180.0,92.5,147.5
2025-09-25,282.5,85.0,120.0,90.0,155.0
2025-10-02,270.0,70.0,137.5,87.5,147.5
2025-10-09,275.0,75.0,125.0,132.5,137.5
2025-10-16,245.0,70.0,105.0,97.5,127.5
2025-10-23,205.0,67.5,117.5,87.5,110.0
2025-10-30,330.0,80.0,120.0,105.0,127.5
2025-11-06,375.0,77.5,160.0,130.0,142.5
2025-11-13,257.5,90.0,152.5,130.0,117.5
2025-11-20,275.0,85.0,125.0,100.0,80.0
2025-12-04,750.0,97.5,370.0,332.5,210.0
